0.13245381,-0.08518279,0.76000000,0.00000000,0.00000000,0.94337295,0.33173405,-0.31200000,0.00000000,0.00000000,0.66900000,-0.36300000,0.00000000,-0.31200000,0.00000000,0.00000000,0.66900000,-0.36300000,0.00000000,0.00000000,0.00000000,0.00000000,0.20000000,0.20000000,0.00000000,0.60000000,0.00000000,0.00000000,0.00000000,0.20000000,-0.20000000,0.00000000,0.60000000,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76000164,0.00000000,0.00000000,0.94337295,0.33173405,-0.31199140,0.00000038,0.00000038,0.66898490,-0.36299284,-0.00000020,-0.31199172,-0.00000040,-0.00000030,0.66898498,-0.36299276,0.00000034,0.00000009,0.00000007,0.00000006,0.19999883,0.19999997,-0.00000053,0.60001064,0.00000000,0.00000000,0.00000000,0.19999914,-0.20000034,-0.00000082,0.60001113,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76001312,0.00000000,0.00000000,0.94337295,0.33173405,-0.31193119,0.00000302,0.00000302,0.66887920,-0.36294274,-0.00000163,-0.31193378,-0.00000317,-0.00000239,0.66887987,-0.36294210,0.00000272,0.00000073,0.00000059,0.00000049,0.19999067,0.19999979,-0.00000421,0.60008515,0.00000000,0.00000000,0.00000000,0.19999311,-0.20000273,-0.00000656,0.60008907,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76004428,0.00000000,0.00000000,0.94337295,0.33173405,-0.31176778,0.00001018,0.00001020,0.66859230,-0.36280676,-0.00000551,-0.31177650,-0.00001069,-0.00000807,0.66859455,-0.36280458,0.00000919,0.00000245,0.00000200,0.00000166,0.19996852,0.19999930,-0.00001422,0.60028738,0.00000000,0.00000000,0.00000000,0.19997675,-0.20000923,-0.00002213,0.60030060,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76010497,0.00000000,0.00000000,0.94337295,0.33173405,-0.31144955,0.00002414,0.00002418,0.66803361,-0.36254196,-0.00001306,-0.31147022,-0.00002533,-0.00001912,0.66803894,-0.36253679,0.00002179,0.00000581,0.00000474,0.00000395,0.19992538,0.19999834,-0.00003371,0.60068119,0.00000000,0.00000000,0.00000000,0.19994490,-0.20002187,-0.00005246,0.60071253,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76020501,0.00000000,0.00000000,0.94337295,0.33173405,-0.31092490,0.00004715,0.00004723,0.66711252,-0.36210539,-0.00002552,-0.31096527,-0.00004948,-0.00003734,0.66712293,-0.36209530,0.00004255,0.00001135,0.00000926,0.00000771,0.19985426,0.19999675,-0.00006584,0.60133044,0.00000000,0.00000000,0.00000000,0.19989237,-0.20004271,-0.00010246,0.60139167,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76035426,0.00000000,0.00000000,0.94337295,0.33173405,-0.31014223,0.00008148,0.00008162,0.66573844,-0.36145411,-0.00004409,-0.31021198,-0.00008550,-0.00006453,0.66575641,-0.36143667,0.00007353,0.00001961,0.00001600,0.00001332,0.19974815,0.19999439,-0.00011377,0.60229900,0.00000000,0.00000000,0.00000000,0.19981402,-0.20007381,-0.00017705,0.60240480,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76056255,0.00000000,0.00000000,0.94337295,0.33173405,-0.30904992,0.00012939,0.00012960,0.66382076,-0.36054519,-0.00007002,-0.30916069,-0.00013578,-0.00010247,0.66384931,-0.36051749,0.00011677,0.00003114,0.00002541,0.00002115,0.19960008,0.19999109,-0.00018066,0.60365073,0.00000000,0.00000000,0.00000000,0.19970468,-0.20011720,-0.00028115,0.60381873,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76083972,0.00000000,0.00000000,0.94337295,0.33173405,-0.30759639,0.00019313,0.00019346,0.66126889,-0.35933568,-0.00010452,-0.30776173,-0.00020268,-0.00015296,0.66131150,-0.35929434,0.00017430,0.00004648,0.00003793,0.00003157,0.19940303,0.19998670,-0.00026968,0.60544948,0.00000000,0.00000000,0.00000000,0.19955917,-0.20017495,-0.00041967,0.60570027,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76119562,0.00000000,0.00000000,0.94337295,0.33173405,-0.30573001,0.00027499,0.00027546,0.65799222,-0.35778264,-0.00014882,-0.30596543,-0.00028858,-0.00021779,0.65805290,-0.35772377,0.00024817,0.00006617,0.00005400,0.00004495,0.19915002,0.19998107,-0.00038398,0.60775913,0.00000000,0.00000000,0.00000000,0.19937233,-0.20024909,-0.00059754,0.60811620,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76164008,0.00000000,0.00000000,0.94337295,0.33173405,-0.30339919,0.00037722,0.00037785,0.65390017,-0.35584312,-0.00020414,-0.30372213,-0.00039585,-0.00029875,0.65398340,-0.35576237,0.00034043,0.00009077,0.00007408,0.00006166,0.19883404,0.19997403,-0.00052672,0.61064352,0.00000000,0.00000000,0.00000000,0.19913900,-0.20034169,-0.00081968,0.61113333,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76218295,0.00000000,0.00000000,0.94337295,0.33173405,-0.30055232,0.00050207,0.00050292,0.64890212,-0.35347420,-0.00027171,-0.30098215,-0.00052688,-0.00039764,0.64901291,-0.35336672,0.00045311,0.00012082,0.00009860,0.00008207,0.19844811,0.19996543,-0.00070106,0.61416653,0.00000000,0.00000000,0.00000000,0.19885401,-0.20045479,-0.00109099,0.61481846,0.00000000,0.00000000,0.00000000
0.13245381,-0.08518279,0.76283407,0.00000000,0.00000000,0.94337295,0.33173405,-0.29713780,0.00065183,0.00065293,0.64290749,-0.35063291,-0.00035275,-0.29769584,-0.00068403,-0.00051625,0.64305132,-0.35049338,0.00058826,0.00015686,0.00012800,0.00010655,0.19798522,0.19995512,-0.00091017,0.61839201,0.00000000,0.00000000,0.00000000,0.19851219,-0.20059044,-0.00141640,0.61923840,0.00000000,0.00000000,0.00000000
